dataset_id,window_seconds,half_life_seconds,lambda_value,score_index,source_window_end_index,t2_score
N3,5,20,0.034064,0,137,1.1441579055299844
N3,5,20,0.034064,1,138,1.2174663739868312
N3,5,20,0.034064,2,139,1.359334841517108
N3,5,20,0.034064,3,140,1.87842993571484
N3,5,20,0.034064,4,141,2.8108348208941436
N3,5,20,0.034064,5,142,3.2772715543584154
N3,5,20,0.034064,6,143,3.8061539167518266
N3,5,20,0.034064,7,144,3.1867441740425186
N3,5,20,0.034064,8,145,2.907089897624341
N3,5,20,0.034064,9,146,2.9241767591553725
N3,5,20,0.034064,10,147,3.315115707759266
N3,5,20,0.034064,11,148,3.707501224445396
N3,5,20,0.034064,12,149,4.1733187324667975
N3,5,20,0.034064,13,150,4.744008312006257
N3,5,20,0.034064,14,151,5.2962836195821765
N3,5,20,0.034064,15,152,5.419833460552114
N3,5,20,0.034064,16,153,5.6751829283544675
N3,5,20,0.034064,17,154,5.869813975426515
N3,5,20,0.034064,18,155,6.790110248345972
N3,5,20,0.034064,19,156,8.248952579941664
N3,5,20,0.034064,20,157,9.352210057107566
N3,5,20,0.034064,21,158,10.421622442022027
N3,5,20,0.034064,22,159,11.701280513758036
N3,5,20,0.034064,23,160,11.605642352448529
N3,5,20,0.034064,24,161,11.674212053206457
N3,5,20,0.034064,25,162,11.91982925691391
N3,5,20,0.034064,26,163,11.873255682229352
N3,5,20,0.034064,27,164,11.663143055832402
N3,5,20,0.034064,28,165,11.279590610739431
N3,5,20,0.034064,29,166,10.830029679872112
N3,5,20,0.034064,30,167,10.358701358600566
N3,5,20,0.034064,31,168,10.110572591252355
N3,5,20,0.034064,32,169,9.701630154596819
N3,5,20,0.034064,33,170,9.187650995654977
N3,5,20,0.034064,34,171,8.613739810472708
N3,5,20,0.034064,35,172,6.785313481760389
N3,5,20,0.034064,36,173,5.5226446566008365
N3,5,20,0.034064,37,174,4.884360646675371
N3,5,20,0.034064,38,175,4.657645607459786
N3,5,20,0.034064,39,176,4.909092513553935
N3,5,20,0.034064,40,177,4.175142296155087
N3,5,20,0.034064,41,178,3.716756615297993
N3,5,20,0.034064,42,179,3.3054203997008362
N3,5,20,0.034064,43,180,2.9169602215372477
N3,5,20,0.034064,44,181,2.5276402174850015
N3,5,20,0.034064,45,182,2.477015026876596
N3,5,20,0.034064,46,183,2.181995853835414
N3,5,20,0.034064,47,184,1.9371799010003299
N3,5,20,0.034064,48,185,1.7278473562479582
N3,5,20,0.034064,49,186,1.5741324916856787
N3,5,20,0.034064,50,187,1.3534430339836907
N3,5,20,0.034064,51,188,1.3214609726895665
N3,5,20,0.034064,52,189,1.3961321585920043
N3,5,20,0.034064,53,190,1.5683198787350543
N3,5,20,0.034064,54,191,1.5907270908704352
N3,5,20,0.034064,55,192,1.6267753307758237
N3,5,20,0.034064,56,193,1.4044453399332573
N3,5,20,0.034064,57,194,1.2422717641639072
N3,5,20,0.034064,58,195,0.9991937853559015
N3,5,20,0.034064,59,196,0.8460059467065458
N3,5,20,0.034064,60,197,0.6866172402495713
N3,5,20,0.034064,61,198,0.584946697486134
N3,5,20,0.034064,62,199,0.6613612183525719
N3,5,20,0.034064,63,200,0.7844310120056159
N3,5,20,0.034064,64,201,1.0078710900801764
N3,5,20,0.034064,65,202,1.7066611751315284
N3,5,20,0.034064,66,203,2.6536932734903314
N3,5,20,0.034064,67,204,3.6394370292779357
N3,5,20,0.034064,68,205,3.1977072759704157
N3,5,20,0.034064,69,206,2.8052259754655156
N3,5,20,0.034064,70,207,2.547602740372988
N3,5,20,0.034064,71,208,1.7866180153613316
N3,5,20,0.034064,72,209,1.4065112981852788
N3,5,20,0.034064,73,210,1.334791814502558
N3,5,20,0.034064,74,211,1.1304062973543745
N3,5,20,0.034064,75,212,0.7252278533475446
N3,5,20,0.034064,76,213,0.4215303159455645
N3,5,20,0.034064,77,214,0.38043710205458625
N3,5,20,0.034064,78,215,0.5449331981228618
