dataset_id,window_seconds,half_life_seconds,lambda_value,score_index,source_window_end_index,t2_score
N3,10,10,0.066967,0,76,0.31211214327947223
N3,10,10,0.066967,1,77,0.3413409502607355
N3,10,10,0.066967,2,78,0.5951093781160972
N3,10,10,0.066967,3,79,0.9945537959743206
N3,10,10,0.066967,4,80,1.5227140831692085
N3,10,10,0.066967,5,81,2.1576117562290182
N3,10,10,0.066967,6,82,1.9531798076674245
N3,10,10,0.066967,7,83,1.5981755961361188
N3,10,10,0.066967,8,84,1.4484042252230875
N3,10,10,0.066967,9,85,1.459802145643248
N3,10,10,0.066967,10,86,1.5923390518442049
N3,10,10,0.066967,11,87,2.0542809964318707
N3,10,10,0.066967,12,88,2.387561885822855
N3,10,10,0.066967,13,89,2.2255991504124326
N3,10,10,0.066967,14,90,2.091284407687319
N3,10,10,0.066967,15,91,1.9293942678315315
N3,10,10,0.066967,16,92,1.5578504375847861
N3,10,10,0.066967,17,93,1.3238049149471336
N3,10,10,0.066967,18,94,1.1336339507272102
N3,10,10,0.066967,19,95,0.9840372086491102
N3,10,10,0.066967,20,96,0.8607941069336118
N3,10,10,0.066967,21,97,0.7782998878970075
N3,10,10,0.066967,22,98,0.6715339964627395
N3,10,10,0.066967,23,99,0.550477910532769
N3,10,10,0.066967,24,100,0.7076427932004623
N3,10,10,0.066967,25,101,1.0046735966966969
N3,10,10,0.066967,26,102,1.8115562932935543
N3,10,10,0.066967,27,103,2.187574760931705
N3,10,10,0.066967,28,104,2.5777351310688914
N3,10,10,0.066967,29,105,2.0569785334881834
N3,10,10,0.066967,30,106,1.707649170964456
N3,10,10,0.066967,31,107,0.6707932109390735
N3,10,10,0.066967,32,108,0.21105132397058174
N3,10,10,0.066967,33,109,0.1888570583541831
N3,10,10,0.066967,34,110,0.4115806731810441
N3,10,10,0.066967,35,111,0.8734724605215529
N3,10,10,0.066967,36,112,1.5059550363780687
N3,10,10,0.066967,37,113,1.7685159400325103
N3,10,10,0.066967,38,114,2.234291855496169
N3,10,10,0.066967,39,115,2.196496088558532
N3,10,10,0.066967,40,116,2.42187774849238
N3,10,10,0.066967,41,117,1.7409118511681068
N3,10,10,0.066967,42,118,1.4118908623893307
N3,10,10,0.066967,43,119,1.2638778856111272
N3,10,10,0.066967,44,120,1.275227155507053
N3,10,10,0.066967,45,121,1.6396229370053028
N3,10,10,0.066967,46,122,1.1659319526249632
N3,10,10,0.066967,47,123,0.8171144705076986
N3,10,10,0.066967,48,124,0.636739067875433
N3,10,10,0.066967,49,125,0.5055104902402723
N3,10,10,0.066967,50,126,0.3920565465580197
N3,10,10,0.066967,51,127,0.30162559702367653
N3,10,10,0.066967,52,128,0.3868513015563863
N3,10,10,0.066967,53,129,0.42328455331986325
N3,10,10,0.066967,54,130,0.5675693543503111
N3,10,10,0.066967,55,131,0.6547836400473047
