collection_start,2026-07-02T16:04:08Z,0,collector_started
attack_start,2026-07-02T16:14:08Z,600,R1_CPU_SINGLE_VECTOR_BOUNDED15M
attack_end,2026-07-02T16:29:09Z,1500,R1_CPU_SINGLE_VECTOR_BOUNDED15M
