workloads,repetition,xapp,expected_requests,observed_requests,valid_responses,deadline_misses,end_to_end_mean_ms
75,1,scale-n075-x017,20,20,20,19,13413.879308599999
75,1,scale-n075-x018,20,20,20,19,12354.3934032
75,1,scale-n075-x019,20,20,20,19,12854.70837585
75,1,scale-n075-x020,20,20,19,19,12567.447085349999
75,1,scale-n075-x021,20,20,20,19,11595.0338146
75,1,scale-n075-x022,20,20,20,19,13407.06600535
75,1,scale-n075-x023,20,20,19,19,15039.79371915
75,1,scale-n075-x024,20,20,20,19,12884.4372162
75,1,scale-n075-x025,20,20,20,19,13373.9231521
75,1,scale-n075-x026,20,20,20,19,12468.3394291
75,1,scale-n075-x027,20,20,19,20,13339.547837
75,1,scale-n075-x028,20,20,20,20,12988.20925725
75,1,scale-n075-x029,20,20,19,20,14960.97383115
75,1,scale-n075-x030,20,20,18,19,17038.306733600002
75,1,scale-n075-x031,20,20,19,20,12998.26216865
75,1,scale-n075-x032,20,20,19,20,14425.60559805
75,1,scale-n075-x033,20,20,19,20,13407.753136399999
75,1,scale-n075-x034,20,20,20,20,13012.57436635
75,1,scale-n075-x035,20,20,18,20,14847.5541129
75,1,scale-n075-x036,20,20,19,20,15589.61234145
75,1,scale-n075-x037,20,20,19,20,13869.73474195
75,1,scale-n075-x038,20,20,19,20,15182.509698500002
75,1,scale-n075-x039,20,20,19,20,16441.04375725
75,1,scale-n075-x040,20,20,18,20,16763.38129175
75,1,scale-n075-x041,20,20,19,20,15881.0149212
75,1,scale-n075-x042,20,20,19,20,15434.4144824
75,1,scale-n075-x043,20,20,18,20,16966.496329399997
75,1,scale-n075-x044,20,20,20,20,14359.72484435
75,1,scale-n075-x045,20,20,19,20,14947.3346979
75,1,scale-n075-x046,20,20,20,20,13064.1698423
75,1,scale-n075-x047,20,20,20,20,13501.36184655
75,1,scale-n075-x048,20,20,19,20,15860.00539755
75,1,scale-n075-x049,20,20,20,20,13063.8138975
75,1,scale-n075-x050,20,20,18,20,16351.68099215
75,1,scale-n075-x051,20,20,18,20,16082.804746150001
75,1,scale-n075-x052,20,20,18,20,16335.850918
75,1,scale-n075-x053,20,20,18,20,15522.01581115
75,1,scale-n075-x054,20,20,18,20,16437.1135149
75,1,scale-n075-x055,20,20,19,20,15827.3224811
75,1,scale-n075-x056,20,20,19,20,14567.813744699999
75,1,scale-n075-x057,20,20,18,20,15224.038546749998
75,1,scale-n075-x058,20,20,18,20,17297.19474225
75,1,scale-n075-x059,20,20,17,20,17429.3719083
75,1,scale-n075-x060,20,20,19,20,15662.905232
75,1,scale-n075-x061,20,20,19,20,15088.928054450002
75,1,scale-n075-x062,20,20,20,20,14489.074173899999
75,1,scale-n075-x063,20,20,19,20,15352.45711725
75,1,scale-n075-x064,20,20,20,20,13293.4470893
75,1,scale-n075-x065,20,20,19,20,14857.0071671
75,1,scale-n075-x066,20,20,20,20,14886.2797333
75,1,scale-n075-x067,20,20,19,20,15523.80854595
75,1,scale-n075-x068,20,20,19,20,15006.222412
75,1,scale-n075-x069,20,20,18,20,16142.2129963
75,1,scale-n075-x070,20,20,19,20,17356.6448108
75,1,scale-n075-x071,20,20,20,20,14713.607097199998
75,1,scale-n075-x072,20,20,19,20,15672.412799049998
75,1,scale-n075-x073,20,20,19,20,14587.78622645
75,1,scale-n075-x074,20,20,19,20,15178.9602133
100,1,scale-n100-x000,20,20,20,19,20878.1348759
100,1,scale-n100-x001,20,20,20,19,18265.57931795
100,1,scale-n100-x002,20,20,20,19,18545.38113085
100,1,scale-n100-x003,20,20,20,19,18204.3216504
100,1,scale-n100-x004,20,20,20,19,19109.2314276
100,1,scale-n100-x005,20,20,20,19,18073.3047807
100,1,scale-n100-x006,20,20,20,19,19408.3571286
100,1,scale-n100-x007,20,20,20,19,19988.545198350002
100,1,scale-n100-x008,20,20,20,19,18009.4656322
100,1,scale-n100-x009,20,20,20,19,19854.233139800002
100,1,scale-n100-x010,20,20,20,19,18500.29839855
100,1,scale-n100-x011,20,20,20,19,19206.50543125
100,1,scale-n100-x012,20,20,20,19,19073.014997550003
100,1,scale-n100-x013,20,20,20,19,19902.8464014
