workloads,repetition,xapp,expected_requests,observed_requests,valid_responses,deadline_misses,end_to_end_mean_ms
25,1,scale-n025-x000,20,20,20,0,307.64714534999996
25,1,scale-n025-x001,20,20,20,0,308.43338125
25,1,scale-n025-x002,20,20,20,0,328.87406135000003
25,1,scale-n025-x003,20,20,20,0,299.08554075
25,1,scale-n025-x004,20,20,20,0,321.84806025
25,1,scale-n025-x005,20,20,20,0,339.97352405000004
25,1,scale-n025-x006,20,20,20,0,397.22061905
25,1,scale-n025-x007,20,20,20,0,418.37586275
25,1,scale-n025-x008,20,20,20,0,407.51967145
25,1,scale-n025-x009,20,20,20,0,436.09921814999996
25,1,scale-n025-x010,20,20,20,0,506.7207678
25,1,scale-n025-x011,20,20,20,0,473.6924241
25,1,scale-n025-x012,20,20,20,0,509.43746254999996
25,1,scale-n025-x013,20,20,20,0,560.28777715
25,1,scale-n025-x014,20,20,20,0,564.1738794
25,1,scale-n025-x015,20,20,20,0,628.32601675
25,1,scale-n025-x016,20,20,20,0,644.6479405
25,1,scale-n025-x017,20,20,20,0,637.3783879499999
25,1,scale-n025-x018,20,20,20,0,670.8898154000001
25,1,scale-n025-x019,20,20,20,0,670.353827
25,1,scale-n025-x020,20,20,20,0,687.2662392
25,1,scale-n025-x021,20,20,20,0,699.2290154
25,1,scale-n025-x022,20,20,20,0,711.1251647
25,1,scale-n025-x023,20,20,20,0,711.6736883000001
25,1,scale-n025-x024,20,20,20,0,717.1525958
30,1,scale-n030-x000,20,20,20,0,318.1740223
30,1,scale-n030-x001,20,20,20,0,350.0628744
30,1,scale-n030-x002,20,20,20,0,348.8551495
30,1,scale-n030-x003,20,20,20,0,328.2017076
30,1,scale-n030-x004,20,20,20,0,376.5399748
30,1,scale-n030-x005,20,20,20,0,409.2225987
30,1,scale-n030-x006,20,20,20,0,405.0572217
30,1,scale-n030-x007,20,20,20,0,436.1484732
30,1,scale-n030-x008,20,20,20,0,474.85251804999996
30,1,scale-n030-x009,20,20,20,0,472.71966469999995
30,1,scale-n030-x010,20,20,20,0,466.75882105
30,1,scale-n030-x011,20,20,20,0,518.3925007
30,1,scale-n030-x012,20,20,20,0,554.60151195
30,1,scale-n030-x013,20,20,20,0,598.6592859
30,1,scale-n030-x014,20,20,20,0,614.0096977000001
30,1,scale-n030-x015,20,20,20,0,648.08105905
30,1,scale-n030-x016,20,20,20,0,665.6654824499999
30,1,scale-n030-x017,20,20,20,0,722.92561515
30,1,scale-n030-x018,20,20,20,0,749.5619268
30,1,scale-n030-x019,20,20,20,0,760.44762585
30,1,scale-n030-x020,20,20,20,0,777.9803976000001
30,1,scale-n030-x021,20,20,20,0,793.30264835
30,1,scale-n030-x022,20,20,20,0,814.12225195
30,1,scale-n030-x023,20,20,20,0,841.63691105
30,1,scale-n030-x024,20,20,20,0,849.2266052000001
30,1,scale-n030-x025,20,20,20,0,855.78003285
30,1,scale-n030-x026,20,20,20,0,861.96840485
30,1,scale-n030-x027,20,20,20,0,878.4818966999999
30,1,scale-n030-x028,20,20,20,0,882.41120165
30,1,scale-n030-x029,20,20,20,0,883.8131966499999
35,1,scale-n035-x000,20,20,20,9,1861.2530086499999
35,1,scale-n035-x001,20,20,20,10,1888.8461465
35,1,scale-n035-x002,20,20,20,9,2035.8824454499998
35,1,scale-n035-x003,20,20,20,12,1876.56581175
35,1,scale-n035-x004,20,20,20,11,1820.71025295
35,1,scale-n035-x005,20,20,20,11,2188.84554355
35,1,scale-n035-x006,20,20,20,11,2107.4157161
35,1,scale-n035-x007,20,20,20,10,1866.9958283
35,1,scale-n035-x008,20,20,20,12,2189.120539
35,1,scale-n035-x009,20,20,20,13,1949.98489775
35,1,scale-n035-x010,20,20,20,13,1961.204013
35,1,scale-n035-x011,20,20,20,14,1990.6089682000002
35,1,scale-n035-x012,20,20,20,13,2076.26159395
35,1,scale-n035-x013,20,20,20,13,2375.4563563
35,1,scale-n035-x014,20,20,20,14,2110.62307585
35,1,scale-n035-x015,20,20,20,15,2283.6292786999998
35,1,scale-n035-x016,20,20,20,15,2398.0394518000003
35,1,scale-n035-x017,20,20,20,14,2404.5235921
35,1,scale-n035-x018,20,20,20,15,2377.4501361499997
35,1,scale-n035-x019,20,20,20,16,2470.8348529
35,1,scale-n035-x020,20,20,20,16,2543.1592816
35,1,scale-n035-x021,20,20,20,15,2413.67819315
35,1,scale-n035-x022,20,20,20,16,2349.0177187
35,1,scale-n035-x023,20,20,20,17,2535.70661695
35,1,scale-n035-x024,20,20,20,18,2580.7511857
35,1,scale-n035-x025,20,20,20,18,2589.8444648
35,1,scale-n035-x026,20,20,20,19,2656.11872975
35,1,scale-n035-x027,20,20,20,18,2651.9208772
35,1,scale-n035-x028,20,20,20,19,2719.38298045
35,1,scale-n035-x029,20,20,20,19,2715.46659505
35,1,scale-n035-x030,20,20,20,19,2950.9840411
35,1,scale-n035-x031,20,20,20,20,2734.7893057499996
35,1,scale-n035-x032,20,20,20,20,2885.70424955
35,1,scale-n035-x033,20,20,20,20,2904.3571678
35,1,scale-n035-x034,20,20,20,20,2802.8385976
40,1,scale-n040-x000,20,20,20,16,2376.78143495
40,1,scale-n040-x001,20,20,20,16,2412.13193915
40,1,scale-n040-x002,20,20,20,16,2432.7188263
40,1,scale-n040-x003,20,20,20,16,2427.09400785
40,1,scale-n040-x004,20,20,20,17,2455.7310193000003
40,1,scale-n040-x005,20,20,20,17,2493.83324435
40,1,scale-n040-x006,20,20,20,16,2566.51781945
40,1,scale-n040-x007,20,20,20,17,2548.6554082499997
40,1,scale-n040-x008,20,20,20,17,2596.96543375
40,1,scale-n040-x009,20,20,20,17,2598.18464795
40,1,scale-n040-x010,20,20,20,17,2618.3620880999997
40,1,scale-n040-x011,20,20,20,17,2642.7663297
40,1,scale-n040-x012,20,20,20,17,2673.2033721
40,1,scale-n040-x013,20,20,20,17,2733.7898262999997
40,1,scale-n040-x014,20,20,20,18,2751.9359218
40,1,scale-n040-x015,20,20,20,17,2793.0083131
40,1,scale-n040-x016,20,20,20,19,2807.98464095
40,1,scale-n040-x017,20,20,20,18,2894.4566320999998
40,1,scale-n040-x018,20,20,20,18,2961.9322230499997
40,1,scale-n040-x019,20,20,20,19,3022.12282275
40,1,scale-n040-x020,20,20,20,19,3000.68434545
40,1,scale-n040-x021,20,20,20,19,3037.64668365
40,1,scale-n040-x022,20,20,20,20,3078.2145628
40,1,scale-n040-x023,20,20,20,19,3120.7064958
40,1,scale-n040-x024,20,20,20,19,3153.36842215
40,1,scale-n040-x025,20,20,20,20,3160.64911295
40,1,scale-n040-x026,20,20,20,20,3220.77994515
40,1,scale-n040-x027,20,20,20,20,3351.47850415
40,1,scale-n040-x028,20,20,20,20,3527.8226373999996
40,1,scale-n040-x029,20,20,20,20,3914.7609601999998
40,1,scale-n040-x030,20,20,20,20,3563.89656385
40,1,scale-n040-x031,20,20,20,20,3630.26310285
40,1,scale-n040-x032,20,20,20,20,4179.262049800001
40,1,scale-n040-x033,20,20,20,20,4236.45495785
40,1,scale-n040-x034,20,20,20,20,4140.097695099999
40,1,scale-n040-x035,20,20,20,20,4229.15393495
40,1,scale-n040-x036,20,20,20,20,4047.814097
40,1,scale-n040-x037,20,20,20,20,4142.0250016
40,1,scale-n040-x038,20,20,20,20,4167.31244705
40,1,scale-n040-x039,20,20,20,20,4225.7106436
40,2,scale-n040-x000,20,20,20,16,2264.5760631000003
40,2,scale-n040-x001,20,20,20,17,2266.1780237
40,2,scale-n040-x002,20,20,20,17,2307.2495243000003
40,2,scale-n040-x003,20,20,20,16,2342.4382284499998
40,2,scale-n040-x004,20,20,20,16,2360.16689725
40,2,scale-n040-x005,20,20,20,18,2385.65492815
40,2,scale-n040-x006,20,20,20,18,2423.1565788
40,2,scale-n040-x007,20,20,20,18,2439.85037105
40,2,scale-n040-x008,20,20,20,17,2440.22617425
40,2,scale-n040-x009,20,20,20,18,2494.33130355
40,2,scale-n040-x010,20,20,20,18,2539.55635455
40,2,scale-n040-x011,20,20,20,18,2569.2287182
40,2,scale-n040-x012,20,20,20,18,2594.2532091000003
40,2,scale-n040-x013,20,20,20,18,2645.50878345
40,2,scale-n040-x014,20,20,20,18,2684.641206
40,2,scale-n040-x015,20,20,20,18,2694.118462
40,2,scale-n040-x016,20,20,20,18,2704.36515415
40,2,scale-n040-x017,20,20,20,18,2756.9950493
40,2,scale-n040-x018,20,20,20,18,2749.0576158
40,2,scale-n040-x019,20,20,20,19,2812.1065872
40,2,scale-n040-x020,20,20,20,19,2857.11065965
40,2,scale-n040-x021,20,20,20,18,3031.3963992500003
40,2,scale-n040-x022,20,20,20,18,3023.7348236
40,2,scale-n040-x023,20,20,20,19,3054.5180929999997
40,2,scale-n040-x024,20,20,20,19,3117.14979265
40,2,scale-n040-x025,20,20,20,19,3155.92798425
40,2,scale-n040-x026,20,20,20,20,3266.60150555
40,2,scale-n040-x027,20,20,20,20,3205.38695585
40,2,scale-n040-x028,20,20,20,20,3318.1582714999995
40,2,scale-n040-x029,20,20,20,19,3393.8659771
40,2,scale-n040-x030,20,20,20,20,3408.62749215
40,2,scale-n040-x031,20,20,20,20,3428.2850239
40,2,scale-n040-x032,20,20,20,20,3578.7765759000004
40,2,scale-n040-x033,20,20,20,20,3488.45125655
40,2,scale-n040-x034,20,20,20,20,3526.1382456500005
40,2,scale-n040-x035,20,20,20,20,3578.60586515
40,2,scale-n040-x036,20,20,20,20,3684.0481967
40,2,scale-n040-x037,20,20,20,20,3691.790489
40,2,scale-n040-x038,20,20,20,20,3666.2990065500003
40,2,scale-n040-x039,20,20,20,20,3779.9681415500004
35,2,scale-n035-x000,20,20,20,2,668.0751029
35,2,scale-n035-x001,20,20,20,4,689.57555555
35,2,scale-n035-x002,20,20,20,5,709.70092805
35,2,scale-n035-x003,20,20,20,5,727.7247077
35,2,scale-n035-x004,20,20,20,5,761.8501532500001
35,2,scale-n035-x005,20,20,20,7,808.9559561
35,2,scale-n035-x006,20,20,20,6,821.4652378999999
35,2,scale-n035-x007,20,20,20,5,847.67317375
35,2,scale-n035-x008,20,20,20,7,881.47698595
35,2,scale-n035-x009,20,20,20,9,901.6355207
35,2,scale-n035-x010,20,20,20,9,927.48624595
35,2,scale-n035-x011,20,20,20,9,981.0079513500001
35,2,scale-n035-x012,20,20,20,10,1007.5288882000001
35,2,scale-n035-x013,20,20,20,12,1023.11832395
35,2,scale-n035-x014,20,20,20,11,1057.26076935
35,2,scale-n035-x015,20,20,20,13,1080.3548033
35,2,scale-n035-x016,20,20,20,13,1102.045301
35,2,scale-n035-x017,20,20,20,12,1090.35522585
35,2,scale-n035-x018,20,20,20,15,1172.26515915
35,2,scale-n035-x019,20,20,20,14,1214.2368365500001
35,2,scale-n035-x020,20,20,20,15,1202.68165445
35,2,scale-n035-x021,20,20,20,15,1246.31194925
35,2,scale-n035-x022,20,20,20,16,1292.4797166
35,2,scale-n035-x023,20,20,20,16,1308.4697330000001
35,2,scale-n035-x024,20,20,20,16,1324.82244445
35,2,scale-n035-x025,20,20,20,15,1378.36921495
35,2,scale-n035-x026,20,20,20,16,1430.1094295999999
35,2,scale-n035-x027,20,20,20,17,1424.1015657
35,2,scale-n035-x028,20,20,20,19,1459.4040391
35,2,scale-n035-x029,20,20,20,18,1464.34732025
35,2,scale-n035-x030,20,20,20,19,1498.13925195
35,2,scale-n035-x031,20,20,20,19,1554.96868545
35,2,scale-n035-x032,20,20,20,18,1557.18389725
35,2,scale-n035-x033,20,20,20,19,1609.5326245
35,2,scale-n035-x034,20,20,20,19,1584.9594892999999
30,2,scale-n030-x000,20,20,20,0,306.77004569999997
30,2,scale-n030-x001,20,20,20,0,314.29637855
30,2,scale-n030-x002,20,20,20,0,344.96375515
30,2,scale-n030-x003,20,20,20,0,346.15139085
30,2,scale-n030-x004,20,20,20,0,378.0834922
30,2,scale-n030-x005,20,20,20,0,353.7361955
30,2,scale-n030-x006,20,20,20,0,375.80681475
30,2,scale-n030-x007,20,20,20,0,434.61949459999994
30,2,scale-n030-x008,20,20,20,0,435.26253639999993
30,2,scale-n030-x009,20,20,20,0,508.37505895000004
30,2,scale-n030-x010,20,20,20,0,518.04103575
30,2,scale-n030-x011,20,20,20,0,518.71397275
30,2,scale-n030-x012,20,20,20,0,571.7553348499999
30,2,scale-n030-x013,20,20,20,0,582.0078965
30,2,scale-n030-x014,20,20,20,0,582.3258557
30,2,scale-n030-x015,20,20,20,0,620.3567501499999
30,2,scale-n030-x016,20,20,20,0,646.1322018
30,2,scale-n030-x017,20,20,20,0,673.6023848
30,2,scale-n030-x018,20,20,20,0,732.7708269
30,2,scale-n030-x019,20,20,20,0,763.48787135
30,2,scale-n030-x020,20,20,20,0,757.06204
30,2,scale-n030-x021,20,20,20,0,799.0109242999999
30,2,scale-n030-x022,20,20,20,0,784.7545718
30,2,scale-n030-x023,20,20,20,0,824.7209885
30,2,scale-n030-x024,20,20,20,0,850.54933435
30,2,scale-n030-x025,20,20,20,0,847.8678845000001
30,2,scale-n030-x026,20,20,20,0,867.5020466
30,2,scale-n030-x027,20,20,20,0,881.1599319999999
30,2,scale-n030-x028,20,20,20,0,887.4720699
30,2,scale-n030-x029,20,20,20,0,893.47216665
25,2,scale-n025-x000,20,20,20,0,302.4712214
25,2,scale-n025-x001,20,20,20,0,278.65703565
25,2,scale-n025-x002,20,20,20,0,319.4019013
25,2,scale-n025-x003,20,20,20,0,291.8167398
25,2,scale-n025-x004,20,20,20,0,339.1377285
25,2,scale-n025-x005,20,20,20,0,370.30508855
25,2,scale-n025-x006,20,20,20,0,386.5350273
25,2,scale-n025-x007,20,20,20,0,364.4844039
25,2,scale-n025-x008,20,20,20,0,427.2739861
25,2,scale-n025-x009,20,20,20,0,430.3682304
