run_id,trial,scenario_id,mode,target_xapp,signal_source,attack_start_time,alert_time,decision_time,quarantine_time,block_time,expected_state,actual_state,expected_containment,actual_containment,classification,pass,decision_latency_ms,quarantine_latency_ms,endpoint_count_after,evidence_dir
20260609T181720Z,1,A5,assisted,traffic-analyzer,prometheus_orchestrator+intent_api,2026-06-09T18:17:21.655828+00:00,2026-06-09T18:17:22.012528+00:00,2026-06-09T18:17:31.165927+00:00,2026-06-09T18:17:31.165930+00:00,2026-06-09T18:17:31.165930+00:00,OBSERVED,QUARANTINED,False,True,FP,False,9510,9510,0,evidence/runtime-evaluation/20260609T181720Z/A5-traffic-analyzer-trial-01
20260609T181720Z,1,A4,assisted,resource-optimizer,prometheus_orchestrator+intent_api,2026-06-09T18:18:43.911702+00:00,2026-06-09T18:18:44.175859+00:00,2026-06-09T18:18:53.452395+00:00,2026-06-09T18:18:53.452402+00:00,2026-06-09T18:18:53.452402+00:00,SUSPICIOUS,QUARANTINED,False,True,FP,False,9541,9541,0,evidence/runtime-evaluation/20260609T181720Z/A4-resource-optimizer-trial-01
20260609T181720Z,1,A7,assisted,security-observer,orchestrator_network+intent_api,2026-06-09T18:20:05.589602+00:00,2026-06-09T18:20:06.275044+00:00,2026-06-09T18:20:22.331301+00:00,2026-06-09T18:20:22.331308+00:00,2026-06-09T18:20:22.331308+00:00,SUSPICIOUS,QUARANTINED,False,True,FP,False,16742,16742,0,evidence/runtime-evaluation/20260609T181720Z/A7-security-observer-trial-01
20260609T181720Z,1,A8,assisted,security-observer,orchestrator_network+intent_api,2026-06-09T18:21:27.820727+00:00,2026-06-09T18:21:30.422480+00:00,2026-06-09T18:21:46.579800+00:00,2026-06-09T18:21:46.579806+00:00,2026-06-09T18:21:46.579806+00:00,QUARANTINED,QUARANTINED,True,True,TP,True,18759,18759,0,evidence/runtime-evaluation/20260609T181720Z/A8-security-observer-trial-01
