workloads,repetition,xapp,expected_requests,observed_requests,valid_responses,deadline_misses,end_to_end_mean_ms
30,1,scale-n030-x024,20,20,20,0,811.1966404
30,1,scale-n030-x025,20,20,20,0,819.2309725499999
30,1,scale-n030-x026,20,20,20,0,831.11485615
30,1,scale-n030-x027,20,20,20,1,845.88676
30,1,scale-n030-x028,20,20,20,0,844.9849474
30,1,scale-n030-x029,20,20,20,0,847.58558865
35,1,scale-n035-x000,20,20,20,8,818.2213816999999
35,1,scale-n035-x001,20,20,20,6,804.3880497
35,1,scale-n035-x002,20,20,20,8,846.9409945499999
35,1,scale-n035-x003,20,20,20,8,877.6113034
35,1,scale-n035-x004,20,20,20,7,865.17415245
35,1,scale-n035-x005,20,20,20,9,933.15707825
35,1,scale-n035-x006,20,20,20,8,932.9007335
35,1,scale-n035-x007,20,20,20,10,1021.74630285
35,1,scale-n035-x008,20,20,20,9,1010.57437825
35,1,scale-n035-x009,20,20,20,9,1060.08181775
35,1,scale-n035-x010,20,20,20,10,1067.06250865
35,1,scale-n035-x011,20,20,20,11,1129.9016760999998
35,1,scale-n035-x012,20,20,20,10,1131.89106335
35,1,scale-n035-x013,20,20,20,12,1169.43438775
35,1,scale-n035-x014,20,20,20,11,1201.51682205
35,1,scale-n035-x015,20,20,20,13,1259.5947766499999
35,1,scale-n035-x016,20,20,20,15,1314.09889725
35,1,scale-n035-x017,20,20,20,13,1302.7570133
35,1,scale-n035-x018,20,20,20,14,1313.3506315999998
35,1,scale-n035-x019,20,20,20,15,1327.1943792
35,1,scale-n035-x020,20,20,20,13,1374.04780535
35,1,scale-n035-x021,20,20,20,15,1447.6239072
35,1,scale-n035-x022,20,20,20,17,1465.17409315
35,1,scale-n035-x023,20,20,20,16,1441.8991802
35,1,scale-n035-x024,20,20,20,18,1500.50410825
35,1,scale-n035-x025,20,20,20,17,1514.67479105
35,1,scale-n035-x026,20,20,20,18,1544.17349215
35,1,scale-n035-x027,20,20,20,18,1595.1608287000001
35,1,scale-n035-x028,20,20,20,18,1610.2273817
35,1,scale-n035-x029,20,20,20,18,1623.1106904
35,1,scale-n035-x030,20,20,20,19,1646.5629138
35,1,scale-n035-x031,20,20,20,19,1686.6810657499998
35,1,scale-n035-x032,20,20,20,19,1719.68021175
35,1,scale-n035-x033,20,20,20,19,1766.9095668999998
35,1,scale-n035-x034,20,20,20,19,1738.65507215
40,1,scale-n040-x000,20,20,20,17,7859.958141749999
40,1,scale-n040-x001,20,20,20,17,8106.408351100001
40,1,scale-n040-x002,20,20,20,17,8276.75018
40,1,scale-n040-x003,20,20,20,17,7739.3052511999995
40,1,scale-n040-x004,20,20,20,17,7069.90154305
40,1,scale-n040-x005,20,20,20,17,7869.363383049999
40,1,scale-n040-x006,20,20,20,18,8477.21364085
40,1,scale-n040-x007,20,20,20,17,7702.46496355
40,1,scale-n040-x008,20,20,20,18,8432.93551265
40,1,scale-n040-x009,20,20,20,18,8529.904836450001
40,1,scale-n040-x010,20,20,20,18,7662.62103415
40,1,scale-n040-x011,20,20,20,18,8202.090412900001
40,1,scale-n040-x012,20,20,20,18,7683.51932085
40,1,scale-n040-x013,20,20,20,18,7588.14659445
40,1,scale-n040-x014,20,20,20,19,8020.29822095
40,1,scale-n040-x015,20,20,20,18,7202.448358899999
40,1,scale-n040-x016,20,20,20,18,7912.93212025
40,1,scale-n040-x017,20,20,20,19,7421.558528299999
40,1,scale-n040-x018,20,20,20,19,7899.249600699999
40,1,scale-n040-x019,20,20,20,19,8227.779818250001
40,1,scale-n040-x020,20,20,20,19,7719.9143231
40,1,scale-n040-x021,20,20,20,19,7922.008175699999
40,1,scale-n040-x022,20,20,20,19,9581.753694
40,1,scale-n040-x023,20,20,20,19,8075.353364
40,1,scale-n040-x024,20,20,20,19,8415.2178149
40,1,scale-n040-x025,20,20,20,20,8316.023083349999
40,1,scale-n040-x026,20,20,20,19,9448.704330049999
40,1,scale-n040-x027,20,20,20,20,8635.29238575
40,1,scale-n040-x028,20,20,20,20,7679.483412650001
40,1,scale-n040-x029,20,20,20,20,8422.94779095
40,1,scale-n040-x030,20,20,20,20,9077.5997617
40,1,scale-n040-x031,20,20,20,20,8407.08651915
40,1,scale-n040-x032,20,20,20,20,8091.8428566
40,1,scale-n040-x033,20,20,20,20,8097.0759754
40,1,scale-n040-x034,20,20,20,20,8947.755220199999
40,1,scale-n040-x035,20,20,20,20,9258.86718465
40,1,scale-n040-x036,20,20,20,20,8314.748723699999
40,1,scale-n040-x037,20,20,20,20,8476.04975
40,1,scale-n040-x038,20,20,20,20,9165.68593655
40,1,scale-n040-x039,20,20,20,20,10042.6209273
45,1,scale-n045-x000,20,20,20,17,5253.24206065
45,1,scale-n045-x001,20,20,20,17,5095.17921535
45,1,scale-n045-x002,20,20,20,17,5364.1777688
45,1,scale-n045-x003,20,20,20,17,4992.80735755
45,1,scale-n045-x004,20,20,20,17,5307.2632139
45,1,scale-n045-x005,20,20,20,17,5182.5121327
45,1,scale-n045-x006,20,20,20,17,5743.85254105
45,1,scale-n045-x007,20,20,20,17,5209.72143515
45,1,scale-n045-x008,20,20,20,17,5041.631818899999
45,1,scale-n045-x009,20,20,20,17,5028.9277818499995
45,1,scale-n045-x010,20,20,20,18,5561.7023153
45,1,scale-n045-x011,20,20,20,18,5437.34705835
45,1,scale-n045-x012,20,20,20,18,5527.5757235500005
45,1,scale-n045-x013,20,20,20,18,5170.7481926
45,1,scale-n045-x014,20,20,20,18,5974.53692075
45,1,scale-n045-x015,20,20,20,18,5807.1186576
45,1,scale-n045-x016,20,20,20,18,5320.71791045
45,1,scale-n045-x017,20,20,20,18,5776.87942615
45,1,scale-n045-x018,20,20,20,18,5845.9311207
45,1,scale-n045-x019,20,20,20,18,5661.81263755
45,1,scale-n045-x020,20,20,20,18,5544.44051245
45,1,scale-n045-x021,20,20,20,18,5833.91576725
45,1,scale-n045-x022,20,20,20,19,6190.29592675
45,1,scale-n045-x023,20,20,20,18,5779.54107485
45,1,scale-n045-x024,20,20,20,19,5855.8181124
45,1,scale-n045-x025,20,20,20,19,5822.689864350001
45,1,scale-n045-x026,20,20,20,19,6172.95340305
45,1,scale-n045-x027,20,20,20,19,5617.6775357999995
45,1,scale-n045-x028,20,20,20,19,5980.95182165
45,1,scale-n045-x029,20,20,20,19,6087.3083601
45,1,scale-n045-x030,20,20,20,19,6473.71572435
45,1,scale-n045-x031,20,20,20,19,6957.132190599999
45,1,scale-n045-x032,20,20,20,20,6785.54732715
