workloads,repetition,request_id,xapp,scheduled_offset_ms,send_lag_ms,service_latency_ms,end_to_end_ms,deadline_missed,http_code,response_valid,state,error
5,1,n5-r1-s009-x003,scale-n005-x003,51047271.528716,1.508578,138.952472,140.46105,0,200,1,SUSPICIOUS,
5,1,n5-r1-s009-x004,scale-n005-x004,51047271.528716,1.582062,129.455469,131.037531,0,200,1,SUSPICIOUS,
5,1,n5-r1-s010-x000,scale-n005-x000,51048271.528716,0.646657,114.471075,115.117732,0,200,1,SUSPICIOUS,
5,1,n5-r1-s010-x001,scale-n005-x001,51048271.528716,0.880331,105.546042,106.426373,0,200,1,SUSPICIOUS,
5,1,n5-r1-s010-x002,scale-n005-x002,51048271.528716,1.39755,116.703594,118.101144,0,200,1,SUSPICIOUS,
5,1,n5-r1-s010-x003,scale-n005-x003,51048271.528716,1.773586,116.429259,118.202845,0,200,1,SUSPICIOUS,
5,1,n5-r1-s010-x004,scale-n005-x004,51048271.528716,2.119978,108.290621,110.410599,0,200,1,SUSPICIOUS,
5,1,n5-r1-s011-x000,scale-n005-x000,51049271.528716,0.610353,123.696749,124.307102,0,200,1,SUSPICIOUS,
5,1,n5-r1-s011-x001,scale-n005-x001,51049271.528716,0.820136,122.970987,123.791123,0,200,1,SUSPICIOUS,
5,1,n5-r1-s011-x002,scale-n005-x002,51049271.528716,1.087173,117.406716,118.493889,0,200,1,SUSPICIOUS,
5,1,n5-r1-s011-x003,scale-n005-x003,51049271.528716,1.347362,122.890099,124.237461,0,200,1,SUSPICIOUS,
5,1,n5-r1-s011-x004,scale-n005-x004,51049271.528716,1.956698,122.143126,124.099824,0,200,1,SUSPICIOUS,
5,1,n5-r1-s012-x000,scale-n005-x000,51050271.528716,0.502083,118.704152,119.206235,0,200,1,SUSPICIOUS,
5,1,n5-r1-s012-x001,scale-n005-x001,51050271.528716,1.283891,126.373844,127.657735,0,200,1,SUSPICIOUS,
5,1,n5-r1-s012-x002,scale-n005-x002,51050271.528716,1.515513,138.616455,140.131968,0,200,1,SUSPICIOUS,
5,1,n5-r1-s012-x003,scale-n005-x003,51050271.528716,1.928314,117.497246,119.42556,0,200,1,SUSPICIOUS,
5,1,n5-r1-s012-x004,scale-n005-x004,51050271.528716,2.336528,125.578538,127.915066,0,200,1,SUSPICIOUS,
5,1,n5-r1-s013-x000,scale-n005-x000,51051271.528716,0.574168,111.688834,112.263002,0,200,1,SUSPICIOUS,
5,1,n5-r1-s013-x001,scale-n005-x001,51051271.528716,0.967032,104.018834,104.985866,0,200,1,SUSPICIOUS,
5,1,n5-r1-s013-x002,scale-n005-x002,51051271.528716,1.679651,69.236379,70.91603,0,200,1,SUSPICIOUS,
5,1,n5-r1-s013-x003,scale-n005-x003,51051271.528716,2.317102,106.151755,108.468857,0,200,1,SUSPICIOUS,
