phase,elapsed_s,utc,scenario
attack_start,900,2026-07-02T18:20:42Z,R6_STEALTH_CPU10_VM16M_HDD16M_3600S
attack_end,4500,2026-07-02T19:20:42Z,R6_STEALTH_CPU10_VM16M_HDD16M_3600S
