elapsed_s,utc,m1_cpu_usage_mcpu,m3_memory_working_set_bytes,m4_memory_growth_bytes_per_s,m5_disk_read_bytes,m6_disk_write_bytes
117.320,2026-07-03T16:53:56Z,0,0,0,0,0
118.456,2026-07-03T16:53:57Z,0,0,0,0,0
119.572,2026-07-03T16:53:58Z,0,0,0,0,0
120.657,2026-07-03T16:53:59Z,0,0,0,0,0
121.753,2026-07-03T16:54:00Z,0,0,0,0,0
122.829,2026-07-03T16:54:02Z,0,0,0,0,0
123.921,2026-07-03T16:54:03Z,0,0,0,0,0
125.023,2026-07-03T16:54:04Z,0,0,0,0,0
126.138,2026-07-03T16:54:05Z,0,0,0,0,0
127.236,2026-07-03T16:54:06Z,0,0,0,0,0
128.312,2026-07-03T16:54:07Z,0,0,0,0,0
129.403,2026-07-03T16:54:08Z,0,0,0,0,0
130.491,2026-07-03T16:54:09Z,0,0,0,0,0
131.601,2026-07-03T16:54:10Z,0,0,0,0,0
132.690,2026-07-03T16:54:11Z,0,0,0,0,0
133.761,2026-07-03T16:54:12Z,0,0,0,0,0
134.855,2026-07-03T16:54:14Z,0,0,0,0,0
135.924,2026-07-03T16:54:15Z,0,0,0,0,0
137.006,2026-07-03T16:54:16Z,0,0,0,0,0
138.116,2026-07-03T16:54:17Z,0,0,0,0,0
139.206,2026-07-03T16:54:18Z,0,0,0,0,0
140.312,2026-07-03T16:54:19Z,0,0,0,0,0
141.470,2026-07-03T16:54:20Z,0,0,0,0,0
142.646,2026-07-03T16:54:21Z,0,0,0,0,0
143.770,2026-07-03T16:54:22Z,0,0,0,0,0
144.915,2026-07-03T16:54:24Z,0,0,0,0,0
146.094,2026-07-03T16:54:25Z,0,0,0,0,0
147.250,2026-07-03T16:54:26Z,0,0,0,0,0
148.375,2026-07-03T16:54:27Z,0,0,0,0,0
149.483,2026-07-03T16:54:28Z,0,0,0,0,0
150.629,2026-07-03T16:54:29Z,0,0,0,0,0
151.771,2026-07-03T16:54:30Z,0,0,0,0,0
152.898,2026-07-03T16:54:32Z,0,0,0,0,0
154.042,2026-07-03T16:54:33Z,0,0,0,0,0
155.234,2026-07-03T16:54:34Z,0,0,0,0,0
156.345,2026-07-03T16:54:35Z,0,0,0,0,0
157.486,2026-07-03T16:54:36Z,0,0,0,0,0
158.806,2026-07-03T16:54:38Z,0,0,0,0,0
159.946,2026-07-03T16:54:39Z,0,0,0,0,0
161.079,2026-07-03T16:54:40Z,0,0,0,0,0
162.185,2026-07-03T16:54:41Z,0,0,0,0,0
163.256,2026-07-03T16:54:42Z,0,0,0,0,0
164.369,2026-07-03T16:54:43Z,0,0,0,0,0
165.475,2026-07-03T16:54:44Z,0,0,0,0,0
166.574,2026-07-03T16:54:45Z,0,0,0,0,0
167.648,2026-07-03T16:54:46Z,0,0,0,0,0
168.742,2026-07-03T16:54:47Z,0,0,0,0,0
169.867,2026-07-03T16:54:49Z,0,0,0,0,0
171.039,2026-07-03T16:54:50Z,0,0,0,0,0
172.140,2026-07-03T16:54:51Z,0,0,0,0,0
173.253,2026-07-03T16:54:52Z,0,0,0,0,0
174.350,2026-07-03T16:54:53Z,0,0,0,0,0
175.441,2026-07-03T16:54:54Z,0,0,0,0,0
176.546,2026-07-03T16:54:55Z,0,0,0,0,0
177.679,2026-07-03T16:54:56Z,0,0,0,0,0
178.823,2026-07-03T16:54:58Z,0,0,0,0,0
179.975,2026-07-03T16:54:59Z,0,0,0,0,0
181.058,2026-07-03T16:55:00Z,0,0,0,0,0
182.137,2026-07-03T16:55:01Z,0,0,0,0,0
183.244,2026-07-03T16:55:02Z,0,0,0,0,0
184.348,2026-07-03T16:55:03Z,0,0,0,0,0
185.503,2026-07-03T16:55:04Z,0,0,0,0,0
186.628,2026-07-03T16:55:05Z,0,0,0,0,0
187.802,2026-07-03T16:55:07Z,0,0,0,0,0
188.934,2026-07-03T16:55:08Z,0,0,0,0,0
190.142,2026-07-03T16:55:09Z,0,0,0,0,0
191.346,2026-07-03T16:55:10Z,0,0,0,0,0
192.471,2026-07-03T16:55:11Z,0,0,0,0,0
193.570,2026-07-03T16:55:12Z,0,0,0,0,0
194.661,2026-07-03T16:55:13Z,0,0,0,0,0
195.727,2026-07-03T16:55:14Z,0,0,0,0,0
196.816,2026-07-03T16:55:16Z,0,0,0,0,0
197.895,2026-07-03T16:55:17Z,0,0,0,0,0
199.029,2026-07-03T16:55:18Z,0,0,0,0,0
200.124,2026-07-03T16:55:19Z,0,0,0,0,0
201.224,2026-07-03T16:55:20Z,0,0,0,0,0
202.296,2026-07-03T16:55:21Z,0,0,0,0,0
203.438,2026-07-03T16:55:22Z,0,0,0,0,0
204.525,2026-07-03T16:55:23Z,0,0,0,0,0
205.595,2026-07-03T16:55:24Z,0,0,0,0,0
206.671,2026-07-03T16:55:25Z,0,0,0,0,0
207.749,2026-07-03T16:55:26Z,0,0,0,0,0
208.845,2026-07-03T16:55:28Z,0,0,0,0,0
209.992,2026-07-03T16:55:29Z,0,0,0,0,0
211.068,2026-07-03T16:55:30Z,0,0,0,0,0
212.147,2026-07-03T16:55:31Z,0,0,0,0,0
213.227,2026-07-03T16:55:32Z,0,0,0,0,0
