NAMESPACE      NAME                                        TYPE           CLUSTER-IP       EXTERNAL-IP   PORT(S)                         AGE     SELECTOR
ricplt         aux-entry                                   ClusterIP      10.96.2.145      <none>        80/TCP,443/TCP                  9d      <none>
ricplt         r4-influxdb-influxdb2                       ClusterIP      10.108.202.251   <none>        80/TCP                          9d      app.kubernetes.io/instance=r4-influxdb,app.kubernetes.io/name=influxdb2
ricplt         r4-infrastructure-kong-manager              NodePort       10.98.13.48      <none>        8002:32097/TCP,8445:30729/TCP   9d      app.kubernetes.io/component=app,app.kubernetes.io/instance=r4-infrastructure,app.kubernetes.io/name=kong
ricplt         r4-infrastructure-kong-proxy                LoadBalancer   10.100.187.27    <pending>     80:32080/TCP,443:32443/TCP      9d      app.kubernetes.io/component=app,app.kubernetes.io/instance=r4-infrastructure,app.kubernetes.io/name=kong
ricplt         r4-infrastructure-kong-validation-webhook   ClusterIP      10.102.131.43    <none>        443/TCP                         9d      app.kubernetes.io/component=app,app.kubernetes.io/instance=r4-infrastructure,app.kubernetes.io/managed-by=Helm,app.kubernetes.io/name=kong,app.kubernetes.io/version=3.6,helm.sh/chart=kong-2.38.0
ricplt         r4-infrastructure-prometheus-alertmanager   ClusterIP      10.98.6.171      <none>        80/TCP                          9d      app=prometheus,component=alertmanager,release=r4-infrastructure
ricplt         r4-infrastructure-prometheus-server         ClusterIP      10.110.113.98    <none>        80/TCP                          9d      app=prometheus,component=server,release=r4-infrastructure
ricplt         service-ricplt-a1mediator-http              ClusterIP      10.111.169.35    <none>        10000/TCP                       9d      app=ricplt-a1mediator,release=r4-a1mediator
ricplt         service-ricplt-a1mediator-rmr               ClusterIP      10.102.14.14     <none>        4561/TCP,4562/TCP               9d      app=ricplt-a1mediator,release=r4-a1mediator
ricplt         service-ricplt-alarmmanager-http            ClusterIP      10.110.105.92    <none>        8080/TCP                        9d      app=ricplt-alarmmanager,release=r4-alarmmanager
ricplt         service-ricplt-alarmmanager-rmr             ClusterIP      10.109.146.17    <none>        4560/TCP,4561/TCP               9d      app=ricplt-alarmmanager,release=r4-alarmmanager
ricplt         service-ricplt-appmgr-http                  ClusterIP      10.108.120.215   <none>        8080/TCP                        9d      app=ricplt-appmgr,release=r4-appmgr
ricplt         service-ricplt-appmgr-rmr                   ClusterIP      10.103.61.197    <none>        4561/TCP,4560/TCP               9d      app=ricplt-appmgr,release=r4-appmgr
ricplt         service-ricplt-dbaas-tcp                    ClusterIP      None             <none>        6379/TCP                        9d      app=ricplt-dbaas,release=r4-dbaas
ricplt         service-ricplt-e2mgr-http                   ClusterIP      10.108.243.89    <none>        3800/TCP                        9d      app=ricplt-e2mgr,release=r4-e2mgr
ricplt         service-ricplt-e2mgr-rmr                    ClusterIP      10.108.199.251   <none>        4561/TCP,3801/TCP               9d      app=ricplt-e2mgr,release=r4-e2mgr
ricplt         service-ricplt-e2term-prometheus-alpha      ClusterIP      10.109.240.139   <none>        8088/TCP                        9d      app=ricplt-e2term-alpha,release=r4-e2term
ricplt         service-ricplt-e2term-rmr-alpha             ClusterIP      10.102.233.54    <none>        4561/TCP,38000/TCP              9d      app=ricplt-e2term-alpha,release=r4-e2term
ricplt         service-ricplt-e2term-sctp-alpha            NodePort       10.108.117.47    <none>        36422:32222/SCTP                9d      app=ricplt-e2term-alpha,release=r4-e2term
ricplt         service-ricplt-o1mediator-http              ClusterIP      10.103.147.252   <none>        9001/TCP,8080/TCP,3000/TCP      9d      app=ricplt-o1mediator,release=r4-o1mediator
ricplt         service-ricplt-o1mediator-tcp-netconf       NodePort       10.110.82.76     <none>        830:30830/TCP                   9d      app=ricplt-o1mediator,release=r4-o1mediator
ricplt         service-ricplt-rtmgr-http                   ClusterIP      10.107.112.218   <none>        3800/TCP                        9d      app=ricplt-rtmgr,release=r4-rtmgr
ricplt         service-ricplt-rtmgr-rmr                    ClusterIP      10.110.39.186    <none>        4561/TCP,4560/TCP               9d      app=ricplt-rtmgr,release=r4-rtmgr
ricplt         service-ricplt-submgr-http                  ClusterIP      None             <none>        3800/TCP                        9d      app=ricplt-submgr,release=r4-submgr
ricplt         service-ricplt-submgr-rmr                   ClusterIP      None             <none>        4560/TCP,4561/TCP               9d      app=ricplt-submgr,release=r4-submgr
ricplt         service-ricplt-vespamgr-http                ClusterIP      10.100.210.94    <none>        8080/TCP,9095/TCP               9d      app=ricplt-vespamgr,release=r4-vespamgr
ricplt         service-ricplt-xapp-onboarder-http          ClusterIP      10.100.6.185     <none>        8080/TCP                        131m    <none>
ricplt         ztx-submgr-http                             ClusterIP      10.103.224.108   <none>        8088/TCP,8080/TCP,3800/TCP      5h53m   app=ricplt-submgr,release=r4-submgr
ricxapp        aux-entry                                   ClusterIP      10.107.82.56     <none>        80/TCP,443/TCP                  9d      <none>
ricxapp        kpm-monitor                                 ClusterIP      10.106.73.207    <none>        8092/TCP,4560/TCP               7m17s   app=kpm-monitor
ricxapp        qos-optimizer                               ClusterIP      10.110.22.61     <none>        8080/TCP                        2d19h   app=qos-optimizer
ricxapp        resource-optimizer                          ClusterIP      10.111.197.10    <none>        8080/TCP                        2d19h   app=resource-optimizer
ricxapp        security-observer                           ClusterIP      10.98.54.249     <none>        8080/TCP                        2d19h   app=security-observer
ricxapp        service-ricxapp-kpm-monitor-rmr             ClusterIP      10.100.208.237   <none>        8092/TCP,4560/TCP               7m17s   app=kpm-monitor
ricxapp        telemetry-monitor                           ClusterIP      10.111.29.111    <none>        8080/TCP                        2d19h   app=telemetry-monitor
ricxapp        traffic-analyzer                            ClusterIP      10.100.88.54     <none>        8080/TCP                        3d      app=traffic-analyzer
spire-system   spire-controller-manager-webhook            ClusterIP      10.107.201.175   <none>        443/TCP                         9d      app.kubernetes.io/instance=spire,app.kubernetes.io/name=server
spire-system   spire-server                                ClusterIP      10.100.244.16    <none>        8081/TCP                        9d      app.kubernetes.io/instance=spire,app.kubernetes.io/name=server
zt-xguard      zt-xguard-policy-engine                     ClusterIP      10.105.143.139   <none>        5000/TCP                        3d6h    app=zt-xguard-policy-engine
