NAME                              TYPE        CLUSTER-IP       EXTERNAL-IP   PORT(S)             AGE     SELECTOR
aux-entry                         ClusterIP   10.107.82.56     <none>        80/TCP,443/TCP      9d      <none>
kpm-monitor                       ClusterIP   10.106.73.207    <none>        8092/TCP,4560/TCP   7m17s   app=kpm-monitor
qos-optimizer                     ClusterIP   10.110.22.61     <none>        8080/TCP            2d19h   app=qos-optimizer
resource-optimizer                ClusterIP   10.111.197.10    <none>        8080/TCP            2d19h   app=resource-optimizer
security-observer                 ClusterIP   10.98.54.249     <none>        8080/TCP            2d19h   app=security-observer
service-ricxapp-kpm-monitor-rmr   ClusterIP   10.100.208.237   <none>        8092/TCP,4560/TCP   7m17s   app=kpm-monitor
telemetry-monitor                 ClusterIP   10.111.29.111    <none>        8080/TCP            2d19h   app=telemetry-monitor
traffic-analyzer                  ClusterIP   10.100.88.54     <none>        8080/TCP            3d      app=traffic-analyzer
