metric_id,column,feature_id,dataset_id,run_id,pod_name,pod_uid,center_scope,center,center_method,n_rows,source
M3,m3_memory_working_set_bytes,M3_run_pod_centered,N1,N1-OFFICIAL-1UE-10PPS-20260626T121005Z,ricxapp-kpimon-go-7d46bdc8d4-mnxdl,4a56da8b-c340-46a1-b45f-e4063502f0f0,per_run_pod,19873792.0,median,1772,N1_N2_fitting_only
M3,m3_memory_working_set_bytes,M3_run_pod_centered,N2,N2-OFFICIAL-1UE-10PPS-20260626T132023Z,ricxapp-kpimon-go-7d46bdc8d4-xjd9l,b00489f9-b6b0-4f92-83bd-d29a605fa7b7,per_run_pod,22843392.0,median,1772,N1_N2_fitting_only
