trial_id,round,K,xapp,is_target,validity,t0_utc,tP_observed_ms,tP_server_utc,tL1_identity_ms,tL2_policy_selection_ms,tL3_service_ms,tL4_nodefilter_ms,tU_unreachable_ms,lock_all_ok,probe_unreachable,exec_rc
17,5,3,ricxapp-hw-go,1,VALID,2026-08-08T08:32:04.521966+00:00,,,4596.283,3642.301,3642.301,7160.314,7363.72,1,1,0
17,5,3,ricxapp-hw-python,1,VALID,2026-08-08T08:32:04.522176+00:00,,,6796.485,4765.079,4765.079,7160.105,7364.047,1,1,0
17,5,3,ricxapp-kpimon-go,1,VALID,2026-08-08T08:32:04.521799+00:00,,,3182.526,1173.016,1173.016,7160.481,7364.899,1,1,0
18,5,1,ricxapp-hw-go,1,VALID,2026-08-08T08:33:16.906988+00:00,,,2048.993,999.788,999.788,2262.816,2440.638,1,1,0
19,5,2,ricxapp-hw-python,1,VALID,2026-08-08T08:34:20.271659+00:00,,,3561.666,2415.891,2415.891,3919.979,4054.114,1,1,0
19,5,2,ricxapp-trafficxapp,1,VALID,2026-08-08T08:34:20.271560+00:00,,,1825.528,521.885,521.885,3920.078,4055.078,1,1,0
20,5,4,ricxapp-hw-go,1,VALID,2026-08-08T08:35:26.783556+00:00,,,4283.618,3138.693,3138.693,8132.212,8274.051,1,1,0
20,5,4,ricxapp-hw-python,1,VALID,2026-08-08T08:35:26.783841+00:00,,,2016.996,726.129,2016.996,8131.928,8274.2,1,1,0
20,5,4,ricxapp-kpimon-go,1,VALID,2026-08-08T08:35:26.783652+00:00,,,7828.505,6905.452,6905.452,8132.117,8276.08,1,1,0
20,5,4,ricxapp-trafficxapp,1,VALID,2026-08-08T08:35:26.783371+00:00,,,6117.237,4948.986,4948.986,8132.397,8277.407,1,1,0
21,6,1,ricxapp-hw-python,1,VALID,2026-08-08T08:36:35.415112+00:00,,,1894.735,942.157,942.157,2077.825,2255.13,1,1,0
22,6,2,ricxapp-kpimon-go,1,VALID,2026-08-08T08:37:39.988324+00:00,,,2353.779,1070.079,1070.079,4067.978,4193.783,1,1,0
22,6,2,ricxapp-trafficxapp,1,VALID,2026-08-08T08:37:39.988224+00:00,,,3959.08,2631.226,2631.226,4068.078,4194.215,1,1,0
23,6,3,ricxapp-hw-go,1,VALID,2026-08-08T08:38:44.847807+00:00,,,2279.658,1381.317,1381.317,5554.185,5715.47,1,1,0
23,6,3,ricxapp-hw-python,1,VALID,2026-08-08T08:38:44.847848+00:00,,,4370.767,2488.903,3383.713,5554.144,5716.35,1,1,0
23,6,3,ricxapp-trafficxapp,1,VALID,2026-08-08T08:38:44.847678+00:00,,,5406.639,4548.329,4548.329,5554.314,5717.437,1,1,0
24,6,4,ricxapp-hw-go,1,VALID,2026-08-08T08:39:52.798574+00:00,,,4531.667,3246.286,3246.286,9264.37,9418.909,1,1,0
24,6,4,ricxapp-hw-python,1,VALID,2026-08-08T08:39:52.798522+00:00,,,1928.077,758.006,1928.077,9264.422,9420.917,1,1,0
24,6,4,ricxapp-kpimon-go,1,VALID,2026-08-08T08:39:52.798936+00:00,,,8900.012,7606.53,7606.53,9264.008,9421.279,1,1,0
24,6,4,ricxapp-trafficxapp,1,VALID,2026-08-08T08:39:52.798369+00:00,,,6729.344,5242.557,5242.557,9264.575,9423.271,1,1,0
