phase,elapsed_s,utc,scenario
ramp_start,600,2026-07-03T18:26:33Z,A_MEMORY_RAMP_6STEPS_300S
ramp_end,900,2026-07-03T18:31:33Z,A_MEMORY_RAMP_6STEPS_300S
phase,elapsed_s,utc,scenario
hold_start,900,2026-07-03T18:31:33Z,A_MEMORY_HOLD_32MB_1200S
hold_end,2100,2026-07-03T18:31:34Z,A_MEMORY_HOLD_32MB_1200S
phase,elapsed_s,utc,scenario
recovery_start,2100,2026-07-03T18:51:37Z,A_MEMORY_RECOVERY_600S
recovery_end,2700,2026-07-03T18:51:37Z,A_MEMORY_RECOVERY_600S
